City Tire and Auto,,,,
Combined Profit And Loss Report,,,,
For period ending 31/07/2022,,,,
( July/2022 ) - [Monthly],,,,
Account Code,GLB,Account Name,July (Interim),June (Interim)
300605,11,MECHANICAL PARTS              ,5654.16,10049.63
300605,347,MECHANICAL PARTS              ,,
300605,AHO,MECHANICAL PARTS              ,,
300606,1,ROAD HAZARD                   ,111.6,55.8
300606,2,ROAD HAZARD                   ,55.8,
300606,3,ROAD HAZARD                   ,-82.1,125.55
300606,4,ROAD HAZARD                   ,,
300606,5,ROAD HAZARD                   ,,
300606,7,ROAD HAZARD                   ,,
300606,9,ROAD HAZARD                   ,,
300606,10,ROAD HAZARD                   ,55.8,
300606,347,ROAD HAZARD                   ,,
300606,AHO,ROAD HAZARD                   ,,
300607,1,OTHER REVENUE                 ,1325.7,2049
300607,2,OTHER REVENUE                 ,1428.07,2045
300607,3,OTHER REVENUE                 ,841.87,375
300607,4,OTHER REVENUE                 ,1440.9,2041.67
300607,5,OTHER REVENUE                 ,3918.95,4016.15
300607,7,OTHER REVENUE                 ,1500,1500
300607,9,OTHER REVENUE                 ,679.35,1019.42
300607,10,OTHER REVENUE                 ,3857.52,4441.51
300607,11,OTHER REVENUE                 ,1739.65,1675
300607,347,OTHER REVENUE                 ,343.14,176.1
300607,AHO,OTHER REVENUE                 ,1546.29,
300640,,TOTAL DIRECT SALES,1104392.81,1403007.8
300649,,** NATIONAL ACCOUNT REVENUE **,,
300650,4,N/A TIRE LABOUR ROAD          ,,-43.46
300650,5,N/A TIRE LABOUR ROAD          ,-9.79,237.44
300650,9,N/A TIRE LABOUR ROAD          ,-4.56,
300650,10,N/A TIRE LABOUR ROAD          ,3.36,131.37
300651,1,N/A TIRES                     ,8413.64,18006.68
300651,2,N/A TIRES                     ,2416.75,3400.04
300651,3,N/A TIRES                     ,3264.86,7012.91
300651,4,N/A TIRES                     ,53213.09,85574.83
300651,5,N/A TIRES                     ,8612.92,35649
300651,9,N/A TIRES                     ,1549.4,10621.97
300651,10,N/A TIRES                     ,61925.31,97127.9
300651,11,N/A TIRES                     ,,
300651,347,N/A TIRES                     ,156420.23,182042.17
300651,AHO,N/A TIRES                     ,,
300652,1,N/A TIRE LABOUR SHOP          ,-0.02,
300652,2,N/A TIRE LABOUR SHOP          ,-0.04,-0.06
300652,3,N/A TIRE LABOUR SHOP          ,-54.03,-0.14
300652,4,N/A TIRE LABOUR SHOP          ,-352.66,19.18
300652,5,N/A TIRE LABOUR SHOP          ,-0.02,-37.07
300652,9,N/A TIRE LABOUR SHOP          ,,-8
300652,10,N/A TIRE LABOUR SHOP          ,-117.65,-25.8
300652,11,N/A TIRE LABOUR SHOP          ,,
300652,347,N/A TIRE LABOUR SHOP          ,43.7,
300653,1,N/A TIRE PARTS                ,,
300653,2,N/A TIRE PARTS                ,,
300653,3,N/A TIRE PARTS                ,,
300653,4,N/A TIRE PARTS                ,,-33.88
300653,5,N/A TIRE PARTS                ,,
300653,9,N/A TIRE PARTS                ,-0.7,
300653,10,N/A TIRE PARTS                ,,-36.3
300654,1,N/A MECHANICAL LABOUR         ,,
300654,2,N/A MECHANICAL LABOUR         ,-142,
300654,3,N/A MECHANICAL LABOUR         ,,
300654,4,N/A MECHANICAL LABOUR         ,,
300654,5,N/A MECHANICAL LABOUR         ,49.58,
300654,9,N/A MECHANICAL LABOUR         ,,
300654,10,N/A MECHANICAL LABOUR         ,,
300654,11,N/A MECHANICAL LABOUR         ,,
300654,347,N/A MECHANICAL LABOUR         ,,
300655,1,N/A MECHANICAL PARTS          ,,
300655,2,N/A MECHANICAL PARTS          ,-6.95,
300655,3,N/A MECHANICAL PARTS          ,,
300655,4,N/A MECHANICAL PARTS          ,,-2.1
300655,5,N/A MECHANICAL PARTS          ,,
300655,9,N/A MECHANICAL PARTS          ,-0.4,
300655,10,N/A MECHANICAL PARTS          ,-2.1,5.5
300655,11,N/A MECHANICAL PARTS          ,,
300655,347,N/A MECHANICAL PARTS          ,,
300657,1,N/A OTHER                     ,,
300657,2,N/A OTHER                     ,,
300657,3,N/A OTHER                     ,,
300657,4,N/A OTHER                     ,,-19.53
300657,5,N/A OTHER                     ,-45.88,-3.25
300657,9,N/A OTHER                     ,,
300657,10,N/A OTHER                     ,-34.63,431.32
300657,11,N/A OTHER                     ,,
300657,347,N/A OTHER                     ,-10.49,-3.58
300658,1,N/A COMMISSION TIRE SALES     ,926.56,1880.4
300658,2,N/A COMMISSION TIRE SALES     ,199.88,314.8
300658,3,N/A COMMISSION TIRE SALES     ,363.2,655.32
300658,4,N/A COMMISSION TIRE SALES     ,4405.26,6705.13
300658,5,N/A COMMISSION TIRE SALES     ,682.36,3084.1
300658,9,N/A COMMISSION TIRE SALES     ,123,936.21
300658,10,N/A COMMISSION TIRE SALES     ,4939.79,9655.76
300658,11,N/A COMMISSION TIRE SALES     ,,
300658,347,N/A COMMISSION TIRE SALES     ,20800,22397.99
300658,AHO,N/A COMMISSION TIRE SALES     ,,
300674,1,N/A ML & TLR (COMMISSION USE) ,,
300674,2,N/A ML & TLR (COMMISSION USE) ,,
300674,3,N/A ML & TLR (COMMISSION USE) ,,
300674,4,N/A ML & TLR (COMMISSION USE) ,,
300674,5,N/A ML & TLR (COMMISSION USE) ,,
300674,9,N/A ML & TLR (COMMISSION USE) ,,
300674,10,N/A ML & TLR (COMMISSION USE) ,,
300674,11,N/A ML & TLR (COMMISSION USE) ,,
300675,,TOTAL N/A REVENUE,327570.97,485676.85
300700,,** TOTAL INCOME **,1431963.78,1888684.65
301600,,** COST OF GOODS **,,
301609,1,COST OF GOODS SOLD,73092.71,106902.39
301609,2,COST OF GOODS SOLD,43954.62,46682.85
301609,3,COST OF GOODS SOLD,46262.89,62762.27
301609,4,COST OF GOODS SOLD,120788.97,144563.06
301609,5,COST OF GOODS SOLD,152000.89,227466.43
301609,7,COST OF GOODS SOLD,-2426.89,
301609,9,COST OF GOODS SOLD,16803.81,30169.64
301609,10,COST OF GOODS SOLD,109317.85,186067.28
301609,11,COST OF GOODS SOLD,21477.47,21936.9
301609,347,COST OF GOODS SOLD,188850.04,207338.59
301609,AHO,COST OF GOODS SOLD,,
301610,1,COST OF GOODS SOLD - OTHER    ,14317.62,11217.87
301610,2,COST OF GOODS SOLD - OTHER    ,3852.23,4667.25
301610,3,COST OF GOODS SOLD - OTHER    ,3784.75,7224.12
301610,4,COST OF GOODS SOLD - OTHER    ,5528.64,4872.45
301610,5,COST OF GOODS SOLD - OTHER    ,1516.04,5287.33
301610,7,COST OF GOODS SOLD - OTHER    ,4.18,12.49
301610,9,COST OF GOODS SOLD - OTHER    ,1827.7,4230.62
301610,10,COST OF GOODS SOLD - OTHER    ,293.56,963.95
301610,11,COST OF GOODS SOLD - OTHER    ,2248.96,2959.46
301610,347,COST OF GOODS SOLD - OTHER    ,3268.26,3825.7
301610,AHO,COST OF GOODS SOLD - OTHER    ,,
301618,1,COST OF GOODS SOLD-L5 EI FRT  ,,
301618,2,COST OF GOODS SOLD-L5 EI FRT  ,,
301618,3,COST OF GOODS SOLD-L5 EI FRT  ,,
301618,4,COST OF GOODS SOLD-L5 EI FRT  ,,
301618,5,COST OF GOODS SOLD-L5 EI FRT  ,992.31,1010.57
301618,6,COST OF GOODS SOLD-L5 EI FRT  ,,
301618,7,COST OF GOODS SOLD-L5 EI FRT  ,,
301618,8,COST OF GOODS SOLD-L5 EI FRT  ,,
301618,9,COST OF GOODS SOLD-L5 EI FRT  ,,
301618,10,COST OF GOODS SOLD-L5 EI FRT  ,,
301618,11,COST OF GOODS SOLD-L5 EI FRT  ,,
301618,100,COST OF GOODS SOLD-L5 EI FRT  ,,
301618,347,COST OF GOODS SOLD-L5 EI FRT  ,,
301618,AHO,COST OF GOODS SOLD-L5 EI FRT  ,,
301623,1,COGS N/A NON TIRES            ,,
301623,2,COGS N/A NON TIRES            ,,
301623,3,COGS N/A NON TIRES            ,,
301623,4,COGS N/A NON TIRES            ,,
301623,5,COGS N/A NON TIRES            ,,
301623,9,COGS N/A NON TIRES            ,,
301623,10,COGS N/A NON TIRES            ,,
301623,11,COGS N/A NON TIRES            ,,
301623,347,COGS N/A NON TIRES            ,,
301640,5,COGS VARIATION,,
301640,9,COGS VARIATION,,
301641,1,STOCK COSTING VARIANCE,-87.01,77.11
301641,2,STOCK COSTING VARIANCE,-8.12,319.54
301641,3,STOCK COSTING VARIANCE,546.94,-40.38
301641,4,STOCK COSTING VARIANCE,-671.56,-128.66
301641,5,STOCK COSTING VARIANCE,307.03,1520.93
301641,7,STOCK COSTING VARIANCE,-1123.93,-177.35
301641,9,STOCK COSTING VARIANCE,0.24,30.27
301641,10,STOCK COSTING VARIANCE,-0.25,1.33
301641,11,STOCK COSTING VARIANCE,,52.58
301641,347,STOCK COSTING VARIANCE,-0.24,-3.97
301641,AHO,STOCK COSTING VARIANCE,,
301690,10,MANUFACTURER REBATES          ,,
301695,1,CLAIMS REVENUE/EXPENSE,88.92,-523.93
301695,2,CLAIMS REVENUE/EXPENSE,109.14,8.25
301695,3,CLAIMS REVENUE/EXPENSE,155.96,-161.55
301695,4,CLAIMS REVENUE/EXPENSE,,8.01
301695,5,CLAIMS REVENUE/EXPENSE,246.11,
301695,9,CLAIMS REVENUE/EXPENSE,,13.27
301695,10,CLAIMS REVENUE/EXPENSE,,
301695,11,CLAIMS REVENUE/EXPENSE,,
301695,347,CLAIMS REVENUE/EXPENSE,,
301858,1,Admin Fee Regular A/R (ARIetc),804.24,681.49
301858,10,Admin Fee Regular A/R (ARIetc),5.14,
301858,11,Admin Fee Regular A/R (ARIetc),1069.91,96.13
301858,AHO,Admin Fee Regular A/R (ARIetc),,
301888,1,ADMIN FEE N/A                 ,3784.46,4837.42
301888,2,ADMIN FEE N/A                 ,2574.75,2282.98
301888,3,ADMIN FEE N/A                 ,985.64,3824.27
301888,4,ADMIN FEE N/A                 ,991.98,1816.86
301888,5,ADMIN FEE N/A                 ,1129.37,1692.67
301888,9,ADMIN FEE N/A                 ,96.51,153.43
301888,10,ADMIN FEE N/A                 ,205.61,768.37
301888,11,ADMIN FEE N/A                 ,766.09,356.38
301888,AHO,ADMIN FEE N/A                 ,,
301988,1,PAYMENT DISCOUNT              ,,
301988,100,PAYMENT DISCOUNT              ,-963.12,-663.65
301988,AHO,PAYMENT DISCOUNT              ,-6145.57,-7931.88
301999,100,INCENTIVE PROGRAMS            ,,-36662.26
301999,AHO,INCENTIVE PROGRAMS            ,-20811.92,-38960.82
302601,2,COMMISSION INCOME             ,,
302605,,TOTAL COST OF GOODS SOLD,791812.93,1013448.06
302610,,** GROSS MARGIN **\096,640150.85,875236.59
333600,,** MANUFACTURING**,,
333601,5,RETREAD PRODUCTION            ,,
333601,7,RETREAD PRODUCTION            ,28848.74,41033.78
333603,7,REPAIRS                       ,7612,10663.5
333606,,TOTAL MANUFACTURING,36460.74,51697.28
333607,,** COST OF MANUFACTURING **,,
333609,4,COGS RETREADS                 ,,
333609,7,COGS RETREADS                 ,25409.75,35426.7
333610,7,COGS REPAIRS                  ,,
333629,,TOTAL COGS MANUFACTURING,-11050.99,-16270.58
333725,,GROSS MARGIN + MANUFACTURING V,-651201.84,-891507.17
400000,,** EXPENSES **,,
400100,1,REGULAR PAY - O/T PAY         ,30456.29,33469.35
400100,2,REGULAR PAY - O/T PAY         ,18676.61,21576.54
400100,3,REGULAR PAY - O/T PAY         ,21567.53,23925.7
400100,4,REGULAR PAY - O/T PAY         ,19301.15,23117.54
400100,5,REGULAR PAY - O/T PAY         ,25293.88,27952.42
400100,7,REGULAR PAY - O/T PAY         ,2901.6,3335.6
400100,9,REGULAR PAY - O/T PAY         ,9426.35,8376.34
400100,10,REGULAR PAY - O/T PAY         ,14829,17581.56
400100,11,REGULAR PAY - O/T PAY         ,18738.37,19322.48
400100,347,REGULAR PAY - O/T PAY         ,6611.2,7611.2
400100,AHO,REGULAR PAY - O/T PAY         ,61690.56,64243.2
400103,1,COMMISSION PAY                ,24947.61,26255.12
400103,2,COMMISSION PAY                ,12179.62,12203.54
400103,3,COMMISSION PAY                ,8513.96,5665.17
400103,4,COMMISSION PAY                ,8842.82,7246.47
400103,5,COMMISSION PAY                ,8753.93,7997.23
400103,7,COMMISSION PAY                ,770,990
400103,9,COMMISSION PAY                ,1815.21,1448.19
400103,10,COMMISSION PAY                ,6907.07,9973.8
400103,11,COMMISSION PAY                ,10347.6,11202.86
400103,347,COMMISSION PAY                ,2142.76,2486.43
400103,AHO,COMMISSION PAY                ,,71
400104,1,OTHER PAY                     ,1000,
400104,2,OTHER PAY                     ,,
400104,3,OTHER PAY                     ,1000,1000
400104,4,OTHER PAY                     ,1000,270.8
400104,5,OTHER PAY                     ,1132.46,382.1
400104,7,OTHER PAY                     ,2218,2164
400104,9,OTHER PAY                     ,,
400104,10,OTHER PAY                     ,636,650
400104,11,OTHER PAY                     ,,
400104,347,OTHER PAY                     ,,
400104,AHO,OTHER PAY                     ,500,500
401101,1,EMPLOYEE BENEFIT - UIC        ,1105.39,1100.28
401101,2,EMPLOYEE BENEFIT - UIC        ,599.76,622.33
401101,3,EMPLOYEE BENEFIT - UIC        ,603.91,563.57
401101,4,EMPLOYEE BENEFIT - UIC        ,573.73,564.37
401101,5,EMPLOYEE BENEFIT - UIC        ,684.94,669.31
401101,7,EMPLOYEE BENEFIT - UIC        ,119.56,119.56
401101,9,EMPLOYEE BENEFIT - UIC        ,225.51,180.97
401101,10,EMPLOYEE BENEFIT - UIC        ,439.79,519.61
401101,11,EMPLOYEE BENEFIT - UIC        ,580.05,562.35
401101,347,EMPLOYEE BENEFIT - UIC        ,179.68,186.02
401101,AHO,EMPLOYEE BENEFIT - UIC        ,437.32,445.66
401102,1,EMPLOYEE BENEFIT - CPP        ,3205.38,3174.08
401102,2,EMPLOYEE BENEFIT - CPP        ,1731.7,1801.41
401102,3,EMPLOYEE BENEFIT - CPP        ,1745.79,1636.25
401102,4,EMPLOYEE BENEFIT - CPP        ,1652.44,1623.42
401102,5,EMPLOYEE BENEFIT - CPP        ,1996.51,1940.47
401102,7,EMPLOYEE BENEFIT - CPP        ,339.22,339.22
401102,9,EMPLOYEE BENEFIT - CPP        ,629.97,492.23
401102,10,EMPLOYEE BENEFIT - CPP        ,1266.88,1500.01
401102,11,EMPLOYEE BENEFIT - CPP        ,1689.04,1640.48
401102,347,EMPLOYEE BENEFIT - CPP        ,525.28,544.87
401102,AHO,EMPLOYEE BENEFIT - CPP        ,2000.68,2026.48
401103,1,EMPLOYEE BENEFIT - GROUP INS  ,1650,1694.96
401103,2,EMPLOYEE BENEFIT - GROUP INS  ,844.15,790.3
401103,3,EMPLOYEE BENEFIT - GROUP INS  ,1148.52,1026.18
401103,4,EMPLOYEE BENEFIT - GROUP INS  ,1156.74,1054.46
401103,5,EMPLOYEE BENEFIT - GROUP INS  ,1182.42,1182.42
401103,7,EMPLOYEE BENEFIT - GROUP INS  ,223.62,223.62
401103,9,EMPLOYEE BENEFIT - GROUP INS  ,347.89,229.4
401103,10,EMPLOYEE BENEFIT - GROUP INS  ,649.85,781.17
401103,11,EMPLOYEE BENEFIT - GROUP INS  ,958.3,954.57
401103,347,EMPLOYEE BENEFIT - GROUP INS  ,429.5,429.5
401103,AHO,EMPLOYEE BENEFIT - GROUP INS  ,1659,1647.2
401104,1,EMPLOYEE BENEFIT - PENSION    ,450,500
401104,2,EMPLOYEE BENEFIT - PENSION    ,200,200
401104,3,EMPLOYEE BENEFIT - PENSION    ,150,100
401104,4,EMPLOYEE BENEFIT - PENSION    ,300,300
401104,5,EMPLOYEE BENEFIT - PENSION    ,600,600
401104,9,EMPLOYEE BENEFIT - PENSION    ,100,-900
401104,10,EMPLOYEE BENEFIT - PENSION    ,,
401104,11,EMPLOYEE BENEFIT - PENSION    ,200,200
401104,347,EMPLOYEE BENEFIT - PENSION    ,200,200
401104,AHO,EMPLOYEE BENEFIT - PENSION    ,800,800
401106,1,HEALTH/POST SECONDARY EDU TAX ,1200.09,1194.49
401106,2,HEALTH/POST SECONDARY EDU TAX ,651.14,675.6
401106,3,HEALTH/POST SECONDARY EDU TAX ,655.64,611.81
401106,4,HEALTH/POST SECONDARY EDU TAX ,622.87,612.71
401106,5,HEALTH/POST SECONDARY EDU TAX ,743.63,726.66
401106,7,HEALTH/POST SECONDARY EDU TAX ,129.8,129.8
401106,9,HEALTH/POST SECONDARY EDU TAX ,244.83,196.5
401106,10,HEALTH/POST SECONDARY EDU TAX ,477.43,564.11
401106,11,HEALTH/POST SECONDARY EDU TAX ,629.71,610.49
401106,347,HEALTH/POST SECONDARY EDU TAX ,195.07,201.94
401106,AHO,HEALTH/POST SECONDARY EDU TAX ,1285.8,1296.28
401109,1,SALARY & WAGE TRANSFER EXPENSE,-4072.5,-6898.5
401109,2,SALARY & WAGE TRANSFER EXPENSE,,
401109,3,SALARY & WAGE TRANSFER EXPENSE,,
401109,4,SALARY & WAGE TRANSFER EXPENSE,,
401109,5,SALARY & WAGE TRANSFER EXPENSE,,
401109,7,SALARY & WAGE TRANSFER EXPENSE,,
401109,9,SALARY & WAGE TRANSFER EXPENSE,,
401109,10,SALARY & WAGE TRANSFER EXPENSE,,
401109,11,SALARY & WAGE TRANSFER EXPENSE,,
401109,347,SALARY & WAGE TRANSFER EXPENSE,,
401109,AHO,SALARY & WAGE TRANSFER EXPENSE,,
401110,1,TAX & LICENCES                ,3466.47,3466.47
401110,2,TAX & LICENCES                ,1549.89,1648.77
401110,3,TAX & LICENCES                ,1784.14,1999.23
401110,4,TAX & LICENCES                ,1599.03,1599.03
401110,5,TAX & LICENCES                ,2314.53,2314.53
401110,6,TAX & LICENCES                ,289.39,289.39
401110,7,TAX & LICENCES                ,694.82,694.82
401110,8,TAX & LICENCES                ,,
401110,9,TAX & LICENCES                ,883.19,883.19
401110,10,TAX & LICENCES                ,1218.65,1218.65
401110,11,TAX & LICENCES                ,2060.71,2060.71
401110,347,TAX & LICENCES                ,1218.65,1218.65
401110,AHO,TAX & LICENCES                ,847.37,1487.37
401115,1,WORKER'S COMPENSATION         ,1479,1479
401115,2,WORKER'S COMPENSATION         ,696,696
401115,3,WORKER'S COMPENSATION         ,696,696
401115,4,WORKER'S COMPENSATION         ,1044,1044
401115,5,WORKER'S COMPENSATION         ,1044,1044
401115,7,WORKER'S COMPENSATION         ,261,261
401115,9,WORKER'S COMPENSATION         ,435,435
401115,10,WORKER'S COMPENSATION         ,696,696
401115,11,WORKER'S COMPENSATION         ,870,870
401115,347,WORKER'S COMPENSATION         ,435,435
401115,AHO,WORKER'S COMPENSATION         ,1928.15,1044
401120,1,R & M VEHICLES                ,360.44,
401120,2,R & M VEHICLES                ,881.29,
401120,3,R & M VEHICLES                ,73.75,
401120,4,R & M VEHICLES                ,604.22,122.95
401120,5,R & M VEHICLES                ,2814.71,332.58
401120,7,R & M VEHICLES                ,,
401120,9,R & M VEHICLES                ,,
401120,10,R & M VEHICLES                ,328.06,1990.45
401120,11,R & M VEHICLES                ,,
401120,347,R & M VEHICLES                ,2472.2,68.21
401120,AHO,R & M VEHICLES                ,2110.68,22.99
401121,1,R & M EQUIPMENT               ,,568.5
401121,2,R & M EQUIPMENT               ,,
401121,3,R & M EQUIPMENT               ,655.85,85
401121,4,R & M EQUIPMENT               ,9092.26,882.88
401121,5,R & M EQUIPMENT               ,2236.98,727.28
401121,7,R & M EQUIPMENT               ,,
401121,9,R & M EQUIPMENT               ,1604.27,
401121,10,R & M EQUIPMENT               ,523.66,2488.54
401121,11,R & M EQUIPMENT               ,,
401121,347,R & M EQUIPMENT               ,,1815.5
401121,AHO,R & M EQUIPMENT               ,1000,
401130,1,R & M BUILDING                ,657.5,2688.32
401130,2,R & M BUILDING                ,,
401130,3,R & M BUILDING                ,,
401130,4,R & M BUILDING                ,2188.47,1212.6
401130,5,R & M BUILDING                ,,93.25
401130,7,R & M BUILDING                ,300,
401130,9,R & M BUILDING                ,,
401130,10,R & M BUILDING                ,118.63,
401130,11,R & M BUILDING                ,,1450
401130,347,R & M BUILDING                ,,718.76
401130,AHO,R & M BUILDING                ,,584.44
401131,1,CLEAN BLDG/LOT/GARB DISP      ,292.79,1130.63
401131,2,CLEAN BLDG/LOT/GARB DISP      ,1001.9,735.3
401131,3,CLEAN BLDG/LOT/GARB DISP      ,824.75,
401131,4,CLEAN BLDG/LOT/GARB DISP      ,,1965.5
401131,5,CLEAN BLDG/LOT/GARB DISP      ,1233.49,1587.34
401131,7,CLEAN BLDG/LOT/GARB DISP      ,95.41,95.41
401131,9,CLEAN BLDG/LOT/GARB DISP      ,,
401131,10,CLEAN BLDG/LOT/GARB DISP      ,540.13,470.25
401131,11,CLEAN BLDG/LOT/GARB DISP      ,565.3,465.3
401131,347,CLEAN BLDG/LOT/GARB DISP      ,191.36,70.68
401131,AHO,CLEAN BLDG/LOT/GARB DISP      ,572.39,913.17
401140,1,INSURANCE                     ,798.24,798.24
401140,2,INSURANCE                     ,674.42,674.42
401140,3,INSURANCE                     ,680.03,680.03
401140,4,INSURANCE                     ,1279.8,1279.8
401140,5,INSURANCE                     ,1297.45,1297.45
401140,6,INSURANCE                     ,,-4148.05
401140,7,INSURANCE                     ,926.52,926.52
401140,8,INSURANCE                     ,941.37,941.37
401140,9,INSURANCE                     ,712.39,712.39
401140,10,INSURANCE                     ,1414.48,1414.48
401140,11,INSURANCE                     ,1189.42,1189.42
401140,347,INSURANCE                     ,882.28,882.28
401140,AHO,INSURANCE                     ,3643.92,3643.92
401142,AHO,LIFE INSURANCE                ,485.33,485.33
401150,1,MORTGAGE INTEREST             ,,
401150,10,MORTGAGE INTEREST             ,,
401150,347,MORTGAGE INTEREST             ,,
401150,AHO,MORTGAGE INTEREST             ,,
401153,1,INTEREST & BANK CHARGES       ,1755.54,2332.15
401153,2,INTEREST & BANK CHARGES       ,1570.5,1486.31
401153,3,INTEREST & BANK CHARGES       ,1808.42,1856.44
401153,4,INTEREST & BANK CHARGES       ,1197.62,1130.39
401153,5,INTEREST & BANK CHARGES       ,1611.19,1328.52
401153,9,INTEREST & BANK CHARGES       ,507.24,363.52
401153,10,INTEREST & BANK CHARGES       ,963.03,603.35
401153,11,INTEREST & BANK CHARGES       ,790.89,594.59
401153,347,INTEREST & BANK CHARGES       ,,
401153,AHO,INTEREST & BANK CHARGES       ,5256.86,4548.07
401160,1,DEPRECIATION                  ,6679.57,6679.57
401160,2,DEPRECIATION                  ,396.81,396.81
401160,3,DEPRECIATION                  ,1966.51,982.36
401160,4,DEPRECIATION                  ,647.86,647.86
401160,5,DEPRECIATION                  ,682.46,682.46
401160,6,DEPRECIATION                  ,,
401160,7,DEPRECIATION                  ,1039.83,1039.83
401160,8,DEPRECIATION                  ,35.04,35.04
401160,9,DEPRECIATION                  ,1536.33,1536.33
401160,10,DEPRECIATION                  ,1941.7,1941.7
401160,11,DEPRECIATION                  ,475.47,475.47
401160,347,DEPRECIATION                  ,4433.24,4433.24
401160,AHO,DEPRECIATION                  ,1620.34,1620.34
401170,AHO,DONATIONS                     ,,120
401180,1,VEHICLE - OPERATING           ,1190.28,456.41
401180,2,VEHICLE - OPERATING           ,197.3,196.15
401180,3,VEHICLE - OPERATING           ,469,280.51
401180,4,VEHICLE - OPERATING           ,1975.8,2236.34
401180,5,VEHICLE - OPERATING           ,3356.11,3528.74
401180,7,VEHICLE - OPERATING           ,,
401180,9,VEHICLE - OPERATING           ,1242.7,977.96
401180,10,VEHICLE - OPERATING           ,3591.57,6007.62
401180,11,VEHICLE - OPERATING           ,411.93,733.87
401180,347,VEHICLE - OPERATING           ,1369.08,1500.94
401180,AHO,VEHICLE - OPERATING           ,3125.48,2997.45
401195,1,SHOP SUPPLIES                 ,2328.08,2286.71
401195,2,SHOP SUPPLIES                 ,961.37,1759.14
401195,3,SHOP SUPPLIES                 ,1117.9,277.84
401195,4,SHOP SUPPLIES                 ,3545.5,2050
401195,5,SHOP SUPPLIES                 ,386.93,333.41
401195,7,SHOP SUPPLIES                 ,299.19,3451.01
401195,9,SHOP SUPPLIES                 ,1077.72,471.15
401195,10,SHOP SUPPLIES                 ,1046.19,2268.01
401195,11,SHOP SUPPLIES                 ,1015.94,724.85
401195,347,SHOP SUPPLIES                 ,,-94.99
401195,AHO,SHOP SUPPLIES                 ,,
401197,1,Shop Tools                    ,828.42,281.95
